Product Title;Product Description;Variant Title;Price;SKU;Status
Spacer Smaków 72 szt.;Futomaki z sałatką surimi i ogórkiem, Futomaki z krewetką w panko, Uramaki w sezamie z pieczonym łososiem, Philadelphia Classic z łososiem, Hosomaki ogórek, Hosomaki oshinko, Hosomaki kampyo, Hosomaki z tatarem z łososia;ZESTAWY PROMOCYJNE;129;PROMO-001;active
Zestaw Promo 1 32szt.;Uramaki z pieczonym łososiem, Philadelphia Almond&Shrimp, Philadelphia Green, Philadelphia z węgorzem;ZESTAWY PROMOCYJNE;149;PROMO-002;active
Japońska Randka 36szt.;Hosomaki z kampyo, California Ebi Tataru, Uramaki z pieczonym łososiem w migdałach, Futomaki ze świeżym łososiem;ZESTAWY;159;SET-001;active
Miyabi 28szt.;California z sałatką surimi, Futomaki z krewetką w panko, Futomaki z pieczonym łososiem, Hosomaki z pastą z ryby maślanej;ZESTAWY;139;SET-002;active
HANAMI 22 szt.;Futomaki z łososiem, krewetką i tamago, Datemaki z krewetką tygrysią, Uramaki łosoś z kawiorem tobiko;ZESTAWY;129;SET-003;active
Tempura Paradise 42szt;Uramaki w migdałach z pieczonym łososiem, Red Dragon Roll, Futomaki z węgorzem, Futomaki z sałatką surimi, Futomaki z pieczonym łososiem, Hosomaki z oshinko, Hosomaki z ogórkiem;ZESTAWY;179;SET-004;active
Zestaw LOVE 32 szt.;Ebi Tataru, Uramaki z pieczonym łososiem, Philadelphia classic z łososiem, Green Dragon;ZESTAWY;194;SET-005;active
Uramaki z pieczonym łososiem x10;Łosoś pieczony, ogórek, kampyo i sos kobe;Rolki w Tubie;57;TUBE-001;active
Uramaki z Łososiem x10;Uramaki w masago z surowym łososiem, awokado, ogórkiem i serkiem Philadelphia;Rolki w Tubie;53;TUBE-002;active
Futomaki z surowym łososiem x12;Nori, Ryż, Łosoś, Ogórek, Serek, Avokado;Rolki w Tubie;63;TUBE-003;active
Futomaki z pieczonym łososiem x12;Nori, Ryż, Pieczony łosoś, Ogórek, Kampyo, Sos kobe;Rolki w Tubie;68;TUBE-004;active
California z Tilapią w tempurze 8 szt.;Nori, Ryż, Tilapia w tempurze, Avokado, Ogórek, Oshinko, Serek, Tobiko;CALIFORNIA;45;CAL-001;active
California Panko Shrimp 8 szt.;Nori, Ryż, Węgorz, Panko Shrimp, Ogórek, Sos kobe, Avokado, Mango;CALIFORNIA;51;CAL-002;active
California grilowany łosoś 8 szt.;Nori, Ryż, Łosoś pieczony, Sos kobe, Kampyo, Ogórek, Łosoś opalany;CALIFORNIA;76;CAL-003;active
California lite 8 szt.;Nori, Ryż, Łosoś, Serek Philadelphia, Mango, owinięta Ogórkiem;CALIFORNIA;51;CAL-004;active
California z Krewetkami w tempurze owinięta Tuńczykiem 8 szt.;Nori, Ryż, Krewetki w tempurze, Tuńczyk, Oshinko, Sos kobe;CALIFORNIA;49;CAL-005;active
Philadelphia classic łosoś 8 szt.;Nori, Ryż, Łosoś, Serek Philadelphia, Ogórek, Avokado;PHILADELPHIA;51;PHIL-001;active
